 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    755   5  -4   0 1 1 1
    756   6  -4   0 1 1 1
    757   7  -4   0 1 1 1
    758   8  -4   0 1 1 1
    759   9  -4   0 1 1 1
    760  10  -4   0 1 1 1
    761  11  -4   0 1 1 1
    762  12  -4   0 1 1 1
    763  13  -4   0 1 1 1
    764  14  -4   0 1 1 1
    765  15  -4   0 1 1 1
    766  16  -4   0 1 1 1
    767  17  -4   0 1 1 1
    768  18  -4   0 1 1 1
    769  19  -4   0 1 1 1
    770  20  -4   0 1 1 1
    771  21  -4   0 1 1 1
    772  22  -4   0 1 1 1
    773  23  -4   0 1 1 1
    774  24  -4   0 1 1 1
    775  25  -4   0 1 1 1
    776   1  -3   0 1 1 1
    777   2  -3   0 1 1 1
    778   3  -3   0 1 1 1
    779   4  -3   0 1 1 1
    780   5  -3   0 1 1 1
    781   6  -3   0 1 1 1
    782   7  -3   0 1 1 1
    783   8  -3   0 1 1 1
    784   9  -3   0 1 1 1
    785  10  -3   0 1 1 1
    786  11  -3   0 1 1 1
    787  12  -3   0 1 1 1
    788  13  -3   0 1 1 1
    789  14  -3   0 1 1 1
    790  15  -3   0 1 1 1
    791  16  -3   0 1 1 1
    792  17  -3   0 1 1 1
    793  18  -3   0 1 1 1
    794  19  -3   0 1 1 1
    795  20  -3   0 1 1 1
    796  21  -3   0 1 1 1
    797  22  -3   0 1 1 1
    798  23  -3   0 1 1 1
    799  24  -3   0 1 1 1
    800  25  -3   0 1 1 1
    801   1  -2   0 1 1 1
    802   2  -2   0 1 1 1
    803   3  -2   0 1 1 1
    804   4  -2   0 1 1 1
    805   5  -2   0 1 1 1
    806   6  -2   0 1 1 1
    807   7  -2   0 1 1 1
    808   8  -2   0 1 1 1
    809   9  -2   0 1 1 1
    810  10  -2   0 1 1 1
    811  11  -2   0 1 1 1
    812  12  -2   0 1 1 1
    813  13  -2   0 1 1 1
    814  14  -2   0 1 1 1
    815  15  -2   0 1 1 1
    816  16  -2   0 1 1 1
    817  17  -2   0 1 1 1
    818  18  -2   0 1 1 1
    819  19  -2   0 1 1 1
    820  20  -2   0 1 1 1
    821  21  -2   0 1 1 1
    822  22  -2   0 1 1 1
    823  23  -2   0 1 1 1
    824  24  -2   0 1 1 1
    825  25  -2   0 1 1 1
    826   1  -1   0 1 1 1
    827   2  -1   0 1 1 1
    828   3  -1   0 1 1 1
    829   4  -1   0 1 1 1
    830   5  -1   0 1 1 1
    831   6  -1   0 1 1 1
    832   7  -1   0 1 1 1
    833   8  -1   0 1 1 1
    834   9  -1   0 1 1 1
    835  10  -1   0 1 1 1
    836  11  -1   0 1 1 1
    837  12  -1   0 1 1 1
    838  13  -1   0 1 1 1
    839  14  -1   0 1 1 1
    840  15  -1   0 1 1 1
    841  16  -1   0 1 1 1
    842  17  -1   0 1 1 1
    843  18  -1   0 1 1 1
    844  19  -1   0 1 1 1
    845  20  -1   0 1 1 1
    846  21  -1   0 1 1 1
    847  22  -1   0 1 1 1
    848  23  -1   0 1 1 1
    849  24  -1   0 1 1 1
    850  25  -1   0 1 1 1
    851   1   0   0 1 1 1
    852   2   0   0 1 1 1
    853   3   0   0 1 1 1
    854   4   0   0 1 1 1
    855   5   0   0 1 1 1
    856   6   0   0 1 1 1
    857   7   0   0 1 1 1
    858   8   0   0 1 1 1
    859   9   0   0 1 1 1
    860  10   0   0 1 1 1
    861  11   0   0 1 1 1
    862  12   0   0 1 1 1
    863  13   0   0 1 1 1
    864  14   0   0 1 1 1
    865  15   0   0 1 1 1
    866  16   0   0 1 1 1
    867  17   0   0 1 1 1
    868  18   0   0 1 1 1
    869  19   0   0 1 1 1
    870  20   0   0 1 1 1
    871  21   0   0 1 1 1
    872  22   0   0 1 1 1
    873  23   0   0 1 1 1
    874  24   0   0 1 1 1
    875  25   0   0 1 1 1
    876   1   1   0 1 1 1
    877   2   1   0 1 1 1
    878   3   1   0 1 1 1
    879   4   1   0 1 1 1
    880   5   1   0 1 1 1
    881   6   1   0 1 1 1
    882   7   1   0 1 1 1
    883   8   1   0 1 1 1
    884   9   1   0 1 1 1
    885  10   1   0 1 1 1
    886  11   1   0 1 1 1
    887  12   1   0 1 1 1
    888  13   1   0 1 1 1
    889  14   1   0 1 1 1
    890  15   1   0 1 1 1
    891  16   1   0 1 1 1
    892  17   1   0 1 1 1
    893  18   1   0 1 1 1
    894  19   1   0 1 1 1
    895  20   1   0 1 1 1
    896  21   1   0 1 1 1
    897  22   1   0 1 1 1
    898  23   1   0 1 1 1
    899  24   1   0 1 1 1
    900  25   1   0 1 1 1
    901   1   2   0 1 1 1
    902   2   2   0 1 1 1
    903   3   2   0 1 1 1
    904   4   2   0 1 1 1
    905   5   2   0 1 1 1
    906   6   2   0 1 1 1
    907   7   2   0 1 1 1
    908   8   2   0 1 1 1
    909   9   2   0 1 1 1
    910  10   2   0 1 1 1
    911  11   2   0 1 1 1
    912  12   2   0 1 1 1
    913  13   2   0 1 1 1
    914  14   2   0 1 1 1
    915  15   2   0 1 1 1
    916  16   2   0 1 1 1
    917  17   2   0 1 1 1
    918  18   2   0 1 1 1
    919  19   2   0 1 1 1
    920  20   2   0 1 1 1
    921  21   2   0 1 1 1
    922  22   2   0 1 1 1
    923  23   2   0 1 1 1
    924  24   2   0 1 1 1
    925  25   2   0 1 1 1
    926   1   3   0 1 1 1
    927   2   3   0 1 1 1
    928   3   3   0 1 1 1
    929   4   3   0 1 1 1
    930   5   3   0 1 1 1
    931   6   3   0 1 1 1
    932   7   3   0 1 1 1
    933   8   3   0 1 1 1
    934   9   3   0 1 1 1
    935  10   3   0 1 1 1
    936  11   3   0 1 1 1
    937  12   3   0 1 1 1
    938  13   3   0 1 1 1
    939  14   3   0 1 1 1
    940  15   3   0 1 1 1
    941  16   3   0 1 1 1
    942  17   3   0 1 1 1
    943  18   3   0 1 1 1
    944  19   3   0 1 1 1
    945  20   3   0 1 1 1
    946  21   3   0 1 1 1
    947  22   3   0 1 1 1
    948  23   3   0 1 1 1
    949  24   3   0 1 1 1
    950  25   3   0 1 1 1
    951   1   4   0 1 1 1
    952   2   4   0 1 1 1
    953   3   4   0 1 1 1
    954   4   4   0 1 1 1
    955   5   4   0 1 1 1
    956   6   4   0 1 1 1
    957   7   4   0 1 1 1
    958   8   4   0 1 1 1
    959   9   4   0 1 1 1
    960  10   4   0 1 1 1
    961  11   4   0 1 1 1
    962  12   4   0 1 1 1
    963  13   4   0 1 1 1
    964  14   4   0 1 1 1
    965  15   4   0 1 1 1
    966  16   4   0 1 1 1
    967  17   4   0 1 1 1
    968  18   4   0 1 1 1
    969  19   4   0 1 1 1
    970  20   4   0 1 1 1
    971  21   4   0 1 1 1
    972  22   4   0 1 1 1
    973  23   4   0 1 1 1
    974  24   4   0 1 1 1
    975  25   4   0 1 1 1
    976   1   5   0 1 1 1
    977   2   5   0 1 1 1
    978   3   5   0 1 1 1
    979   4   5   0 1 1 1
    980   5   5   0 1 1 1
    981   6   5   0 1 1 1
    982   7   5   0 1 1 1
    983   8   5   0 1 1 1
    984   9   5   0 1 1 1
    985  10   5   0 1 1 1
    986  11   5   0 1 1 1
    987  12   5   0 1 1 1
    988  13   5   0 1 1 1
    989  14   5   0 1 1 1
    990  15   5   0 1 1 1
    991  16   5   0 1 1 1
    992  17   5   0 1 1 1
    993  18   5   0 1 1 1
    994  19   5   0 1 1 1
    995  20   5   0 1 1 1
    996  21   5   0 1 1 1
    997  22   5   0 1 1 1
    998  23   5   0 1 1 1
    999  24   5   0 1 1 1
   1000  25   5   0 1 1 1
   1001   1  -4   1 1 1 1
   1002   2  -4   1 1 1 1
   1003   3  -4   1 1 1 1
   1004   4  -4   1 1 1 1
   1005   5  -4   1 1 1 1
   1006   6  -4   1 1 1 1
   1007   7  -4   1 1 1 1
   1008   8  -4   1 1 1 1
   1009   9  -4   1 1 1 1
   1010  10  -4   1 1 1 1
   1011  11  -4   1 1 1 1
   1012  12  -4   1 1 1 1
   1013  13  -4   1 1 1 1
   1014  14  -4   1 1 1 1
   1015  15  -4   1 1 1 1
   1016  16  -4   1 1 1 1
   1017  17  -4   1 1 1 1
   1018  18  -4   1 1 1 1
   1019  19  -4   1 1 1 1
   1020  20  -4   1 1 1 1
   1021  21  -4   1 1 1 1
   1022  22  -4   1 1 1 1
   1023  23  -4   1 1 1 1
   1024  24  -4   1 1 1 1
   1025  25  -4   1 1 1 1
   1026   1  -3   1 1 1 1
   1027   2  -3   1 1 1 1
   1028   3  -3   1 1 1 1
   1029   4  -3   1 1 1 1
   1030   5  -3   1 1 1 1
   1031   6  -3   1 1 1 1
   1032   7  -3   1 1 1 1
   1033   8  -3   1 1 1 1
   1034   9  -3   1 1 1 1
   1035  10  -3   1 1 1 1
   1036  11  -3   1 1 1 1
   1037  12  -3   1 1 1 1
   1038  13  -3   1 1 1 1
   1039  14  -3   1 1 1 1
   1040  15  -3   1 1 1 1
   1041  16  -3   1 1 1 1
   1042  17  -3   1 1 1 1
   1043  18  -3   1 1 1 1
   1044  19  -3   1 1 1 1
   1045  20  -3   1 1 1 1
   1046  21  -3   1 1 1 1
   1047  22  -3   1 1 1 1
   1048  23  -3   1 1 1 1
   1049  24  -3   1 1 1 1
   1050  25  -3   1 1 1 1
   1051   1  -2   1 1 1 1
   1052   2  -2   1 1 1 1
   1053   3  -2   1 1 1 1
   1054   4  -2   1 1 1 1
   1055   5  -2   1 1 1 1
   1056   6  -2   1 1 1 1
   1057   7  -2   1 1 1 1
   1058   8  -2   1 1 1 1
   1059   9  -2   1 1 1 1
   1060  10  -2   1 1 1 1
   1061  11  -2   1 1 1 1
   1062  12  -2   1 1 1 1
   1063  13  -2   1 1 1 1
   1064  14  -2   1 1 1 1
   1065  15  -2   1 1 1 1
   1066  16  -2   1 1 1 1
   1067  17  -2   1 1 1 1
   1068  18  -2   1 1 1 1
   1069  19  -2   1 1 1 1
   1070  20  -2   1 1 1 1
   1071  21  -2   1 1 1 1
   1072  22  -2   1 1 1 1
   1073  23  -2   1 1 1 1
   1074  24  -2   1 1 1 1
   1075  25  -2   1 1 1 1
   1076   1  -1   1 1 1 1
   1077   2  -1   1 1 1 1
   1078   3  -1   1 1 1 1
   1079   4  -1   1 1 1 1
   1080   5  -1   1 1 1 1
   1081   6  -1   1 1 1 1
   1082   7  -1   1 1 1 1
   1083   8  -1   1 1 1 1
   1084   9  -1   1 1 1 1
   1085  10  -1   1 1 1 1
   1086  11  -1   1 1 1 1
   1087  12  -1   1 1 1 1
   1088  13  -1   1 1 1 1
   1089  14  -1   1 1 1 1
   1090  15  -1   1 1 1 1
   1091  16  -1   1 1 1 1
   1092  17  -1   1 1 1 1
   1093  18  -1   1 1 1 1
   1094  19  -1   1 1 1 1
   1095  20  -1   1 1 1 1
   1096  21  -1   1 1 1 1
   1097  22  -1   1 1 1 1
   1098  23  -1   1 1 1 1
   1099  24  -1   1 1 1 1
   1100  25  -1   1 1 1 1
   1101   1   0   1 1 1 1
   1102   2   0   1 1 1 1
   1103   3   0   1 1 1 1
   1104   4   0   1 1 1 1
   1105   5   0   1 1 1 1
   1106   6   0   1 1 1 1
   1107   7   0   1 1 1 1
   1108   8   0   1 1 1 1
   1109   9   0   1 1 1 1
   1110  10   0   1 1 1 1
   1111  11   0   1 1 1 1
   1112  12   0   1 1 1 1
   1113  13   0   1 1 1 1
   1114  14   0   1 1 1 1
   1115  15   0   1 1 1 1
   1116  16   0   1 1 1 1
   1117  17   0   1 1 1 1
   1118  18   0   1 1 1 1
   1119  19   0   1 1 1 1
   1120  20   0   1 1 1 1
   1121  21   0   1 1 1 1
   1122  22   0   1 1 1 1
   1123  23   0   1 1 1 1
   1124  24   0   1 1 1 1
   1125  25   0   1 1 1 1
   1126   1   1   1 1 1 1
   1127   2   1   1 1 1 1
   1128   3   1   1 1 1 1
   1129   4   1   1 1 1 1
   1130   5   1   1 1 1 1
   1131   6   1   1 1 1 1
   1132   7   1   1 1 1 1
   1133   8   1   1 1 1 1
   1134   9   1   1 1 1 1
   1135  10   1   1 1 1 1
   1136  11   1   1 1 1 1
   1137  12   1   1 1 1 1
   1138  13   1   1 1 1 1
   1139  14   1   1 1 1 1
   1140  15   1   1 1 1 1
   1141  16   1   1 1 1 1
   1142  17   1   1 1 1 1
   1143  18   1   1 1 1 1
   1144  19   1   1 1 1 1
   1145  20   1   1 1 1 1
   1146  21   1   1 1 1 1
   1147  22   1   1 1 1 1
   1148  23   1   1 1 1 1
   1149  24   1   1 1 1 1
   1150  25   1   1 1 1 1
   1151   1   2   1 1 1 1
   1152   2   2   1 1 1 1
   1153   3   2   1 1 1 1
   1154   4   2   1 1 1 1
   1155   5   2   1 1 1 1
   1156   6   2   1 1 1 1
   1157   7   2   1 1 1 1
   1158   8   2   1 1 1 1
   1159   9   2   1 1 1 1
   1160  10   2   1 1 1 1
   1161  11   2   1 1 1 1
   1162  12   2   1 1 1 1
   1163  13   2   1 1 1 1
   1164  14   2   1 1 1 1
   1165  15   2   1 1 1 1
   1166  16   2   1 1 1 1
   1167  17   2   1 1 1 1
   1168  18   2   1 1 1 1
   1169  19   2   1 1 1 1
   1170  20   2   1 1 1 1
   1171  21   2   1 1 1 1
   1172  22   2   1 1 1 1
   1173  23   2   1 1 1 1
   1174  24   2   1 1 1 1
   1175  25   2   1 1 1 1
   1176   1   3   1 1 1 1
   1177   2   3   1 1 1 1
   1178   3   3   1 1 1 1
   1179   4   3   1 1 1 1
   1180   5   3   1 1 1 1
   1181   6   3   1 1 1 1
   1182   7   3   1 1 1 1
   1183   8   3   1 1 1 1
   1184   9   3   1 1 1 1
   1185  10   3   1 1 1 1
   1186  11   3   1 1 1 1
   1187  12   3   1 1 1 1
   1188  13   3   1 1 1 1
   1189  14   3   1 1 1 1
   1190  15   3   1 1 1 1
   1191  16   3   1 1 1 1
   1192  17   3   1 1 1 1
   1193  18   3   1 1 1 1
   1194  19   3   1 1 1 1
   1195  20   3   1 1 1 1
   1196  21   3   1 1 1 1
   1197  22   3   1 1 1 1
   1198  23   3   1 1 1 1
   1199  24   3   1 1 1 1
   1200  25   3   1 1 1 1
   1201   1   4   1 1 1 1
   1202   2   4   1 1 1 1
   1203   3   4   1 1 1 1
   1204   4   4   1 1 1 1
   1205   5   4   1 1 1 1
   1206   6   4   1 1 1 1
   1207   7   4   1 1 1 1
   1208   8   4   1 1 1 1
   1209   9   4   1 1 1 1
   1210  10   4   1 1 1 1
   1211  11   4   1 1 1 1
   1212  12   4   1 1 1 1
   1213  13   4   1 1 1 1
   1214  14   4   1 1 1 1
   1215  15   4   1 1 1 1
   1216  16   4   1 1 1 1
   1217  17   4   1 1 1 1
   1218  18   4   1 1 1 1
   1219  19   4   1 1 1 1
   1220  20   4   1 1 1 1
   1221  21   4   1 1 1 1
   1222  22   4   1 1 1 1
   1223  23   4   1 1 1 1
   1224  24   4   1 1 1 1
   1225  25   4   1 1 1 1
   1226   1   5   1 1 1 1
   1227   2   5   1 1 1 1
   1228   3   5   1 1 1 1
   1229   4   5   1 1 1 1
   1230   5   5   1 1 1 1
   1231   6   5   1 1 1 1
   1232   7   5   1 1 1 1
   1233   8   5   1 1 1 1
   1234   9   5   1 1 1 1
   1235  10   5   1 1 1 1
   1236  11   5   1 1 1 1
   1237  12   5   1 1 1 1
   1238  13   5   1 1 1 1
   1239  14   5   1 1 1 1
   1240  15   5   1 1 1 1
   1241  16   5   1 1 1 1
   1242  17   5   1 1 1 1
   1243  18   5   1 1 1 1
   1244  19   5   1 1 1 1
   1245  20   5   1 1 1 1
   1246  21   5   1 1 1 1
   1247  22   5   1 1 1 1
   1248  23   5   1 1 1 1
   1249  24   5   1 1 1 1
   1250  25   5   1 1 1 1
   1251   1  -4   2 1 1 1
   1252   2  -4   2 1 1 1
   1253   3  -4   2 1 1 1
   1254   4  -4   2 1 1 1
   1255   5  -4   2 1 1 1
   1256   6  -4   2 1 1 1
   1257   7  -4   2 1 1 1
   1258   8  -4   2 1 1 1
   1259   9  -4   2 1 1 1
   1260  10  -4   2 1 1 1
   1261  11  -4   2 1 1 1
   1262  12  -4   2 1 1 1
   1263  13  -4   2 1 1 1
   1264  14  -4   2 1 1 1
   1265  15  -4   2 1 1 1
   1266  16  -4   2 1 1 1
   1267  17  -4   2 1 1 1
   1268  18  -4   2 1 1 1
   1269  19  -4   2 1 1 1
   1270  20  -4   2 1 1 1
   1271  21  -4   2 1 1 1
   1272  22  -4   2 1 1 1
   1273  23  -4   2 1 1 1
   1274  24  -4   2 1 1 1
   1275  25  -4   2 1 1 1
   1276   1  -3   2 1 1 1
   1277   2  -3   2 1 1 1
   1278   3  -3   2 1 1 1
   1279   4  -3   2 1 1 1
   1280   5  -3   2 1 1 1
   1281   6  -3   2 1 1 1
   1282   7  -3   2 1 1 1
   1283   8  -3   2 1 1 1
   1284   9  -3   2 1 1 1
   1285  10  -3   2 1 1 1
   1286  11  -3   2 1 1 1
   1287  12  -3   2 1 1 1
   1288  13  -3   2 1 1 1
   1289  14  -3   2 1 1 1
   1290  15  -3   2 1 1 1
   1291  16  -3   2 1 1 1
   1292  17  -3   2 1 1 1
   1293  18  -3   2 1 1 1
   1294  19  -3   2 1 1 1
   1295  20  -3   2 1 1 1
   1296  21  -3   2 1 1 1
   1297  22  -3   2 1 1 1
   1298  23  -3   2 1 1 1
   1299  24  -3   2 1 1 1
   1300  25  -3   2 1 1 1
   1301   1  -2   2 1 1 1
   1302   2  -2   2 1 1 1
   1303   3  -2   2 1 1 1
   1304   4  -2   2 1 1 1
   1305   5  -2   2 1 1 1
   1306   6  -2   2 1 1 1
   1307   7  -2   2 1 1 1
   1308   8  -2   2 1 1 1
   1309   9  -2   2 1 1 1
   1310  10  -2   2 1 1 1
   1311  11  -2   2 1 1 1
   1312  12  -2   2 1 1 1
   1313  13  -2   2 1 1 1
   1314  14  -2   2 1 1 1
   1315  15  -2   2 1 1 1
   1316  16  -2   2 1 1 1
   1317  17  -2   2 1 1 1
   1318  18  -2   2 1 1 1
   1319  19  -2   2 1 1 1
   1320  20  -2   2 1 1 1
   1321  21  -2   2 1 1 1
   1322  22  -2   2 1 1 1
   1323  23  -2   2 1 1 1
   1324  24  -2   2 1 1 1
   1325  25  -2   2 1 1 1
   1326   1  -1   2 1 1 1
   1327   2  -1   2 1 1 1
   1328   3  -1   2 1 1 1
   1329   4  -1   2 1 1 1
   1330   5  -1   2 1 1 1
   1331   6  -1   2 1 1 1
   1332   7  -1   2 1 1 1
   1333   8  -1   2 1 1 1
   1334   9  -1   2 1 1 1
   1335  10  -1   2 1 1 1
   1336  11  -1   2 1 1 1
   1337  12  -1   2 1 1 1
   1338  13  -1   2 1 1 1
   1339  14  -1   2 1 1 1
   1340  15  -1   2 1 1 1
   1341  16  -1   2 1 1 1
   1342  17  -1   2 1 1 1
   1343  18  -1   2 1 1 1
   1344  19  -1   2 1 1 1
   1345  20  -1   2 1 1 1
   1346  21  -1   2 1 1 1
   1347  22  -1   2 1 1 1
   1348  23  -1   2 1 1 1
   1349  24  -1   2 1 1 1
   1350  25  -1   2 1 1 1
   1351   1   0   2 1 1 1
   1352   2   0   2 1 1 1
   1353   3   0   2 1 1 1
   1354   4   0   2 1 1 1
   1355   5   0   2 1 1 1
   1356   6   0   2 1 1 1
   1357   7   0   2 1 1 1
   1358   8   0   2 1 1 1
   1359   9   0   2 1 1 1
   1360  10   0   2 1 1 1
   1361  11   0   2 1 1 1
   1362  12   0   2 1 1 1
   1363  13   0   2 1 1 1
   1364  14   0   2 1 1 1
   1365  15   0   2 1 1 1
   1366  16   0   2 1 1 1
   1367  17   0   2 1 1 1
   1368  18   0   2 1 1 1
   1369  19   0   2 1 1 1
   1370  20   0   2 1 1 1
   1371  21   0   2 1 1 1
   1372  22   0   2 1 1 1
   1373  23   0   2 1 1 1
   1374  24   0   2 1 1 1
   1375  25   0   2 1 1 1
   1376   1   1   2 1 1 1
   1377   2   1   2 1 1 1
   1378   3   1   2 1 1 1
   1379   4   1   2 1 1 1
   1380   5   1   2 1 1 1
   1381   6   1   2 1 1 1
   1382   7   1   2 1 1 1
   1383   8   1   2 1 1 1
   1384   9   1   2 1 1 1
   1385  10   1   2 1 1 1
   1386  11   1   2 1 1 1
   1387  12   1   2 1 1 1
   1388  13   1   2 1 1 1
   1389  14   1   2 1 1 1
   1390  15   1   2 1 1 1
   1391  16   1   2 1 1 1
   1392  17   1   2 1 1 1
   1393  18   1   2 1 1 1
   1394  19   1   2 1 1 1
   1395  20   1   2 1 1 1
   1396  21   1   2 1 1 1
   1397  22   1   2 1 1 1
   1398  23   1   2 1 1 1
   1399  24   1   2 1 1 1
   1400  25   1   2 1 1 1
   1401   1   2   2 1 1 1
   1402   2   2   2 1 1 1
   1403   3   2   2 1 1 1
   1404   4   2   2 1 1 1
   1405   5   2   2 1 1 1
   1406   6   2   2 1 1 1
   1407   7   2   2 1 1 1
   1408   8   2   2 1 1 1
   1409   9   2   2 1 1 1
   1410  10   2   2 1 1 1
   1411  11   2   2 1 1 1
   1412  12   2   2 1 1 1
   1413  13   2   2 1 1 1
   1414  14   2   2 1 1 1
   1415  15   2   2 1 1 1
   1416  16   2   2 1 1 1
   1417  17   2   2 1 1 1
   1418  18   2   2 1 1 1
   1419  19   2   2 1 1 1
   1420  20   2   2 1 1 1
   1421  21   2   2 1 1 1
   1422  22   2   2 1 1 1
   1423  23   2   2 1 1 1
   1424  24   2   2 1 1 1
   1425  25   2   2 1 1 1
   1426   1   3   2 1 1 1
   1427   2   3   2 1 1 1
   1428   3   3   2 1 1 1
   1429   4   3   2 1 1 1
   1430   5   3   2 1 1 1
   1431   6   3   2 1 1 1
   1432   7   3   2 1 1 1
   1433   8   3   2 1 1 1
   1434   9   3   2 1 1 1
   1435  10   3   2 1 1 1
   1436  11   3   2 1 1 1
   1437  12   3   2 1 1 1
   1438  13   3   2 1 1 1
   1439  14   3   2 1 1 1
   1440  15   3   2 1 1 1
   1441  16   3   2 1 1 1
   1442  17   3   2 1 1 1
   1443  18   3   2 1 1 1
   1444  19   3   2 1 1 1
   1445  20   3   2 1 1 1
   1446  21   3   2 1 1 1
   1447  22   3   2 1 1 1
   1448  23   3   2 1 1 1
   1449  24   3   2 1 1 1
   1450  25   3   2 1 1 1
   1451   1   4   2 1 1 1
   1452   2   4   2 1 1 1
   1453   3   4   2 1 1 1
   1454   4   4   2 1 1 1
   1455   5   4   2 1 1 1
   1456   6   4   2 1 1 1
   1457   7   4   2 1 1 1
   1458   8   4   2 1 1 1
   1459   9   4   2 1 1 1
   1460  10   4   2 1 1 1
   1461  11   4   2 1 1 1
   1462  12   4   2 1 1 1
   1463  13   4   2 1 1 1
   1464  14   4   2 1 1 1
   1465  15   4   2 1 1 1
   1466  16   4   2 1 1 1
   1467  17   4   2 1 1 1
   1468  18   4   2 1 1 1
   1469  19   4   2 1 1 1
   1470  20   4   2 1 1 1
   1471  21   4   2 1 1 1
   1472  22   4   2 1 1 1
   1473  23   4   2 1 1 1
   1474  24   4   2 1 1 1
   1475  25   4   2 1 1 1
   1476   1   5   2 1 1 1
   1477   2   5   2 1 1 1
   1478   3   5   2 1 1 1
   1479   4   5   2 1 1 1
   1480   5   5   2 1 1 1
   1481   6   5   2 1 1 1
   1482   7   5   2 1 1 1
   1483   8   5   2 1 1 1
   1484   9   5   2 1 1 1
   1485  10   5   2 1 1 1
   1486  11   5   2 1 1 1
   1487  12   5   2 1 1 1
   1488  13   5   2 1 1 1
   1489  14   5   2 1 1 1
   1490  15   5   2 1 1 1
   1491  16   5   2 1 1 1
   1492  17   5   2 1 1 1
   1493  18   5   2 1 1 1
   1494  19   5   2 1 1 1
   1495  20   5   2 1 1 1
   1496  21   5   2 1 1 1
   1497  22   5   2 1 1 1
   1498  23   5   2 1 1 1
   1499  24   5   2 1 1 1
   1500  25   5   2 1 1 1
   1501   1  -3   3 1 1 1
   1502   2  -3   3 1 1 1
   1503   3  -3   3 1 1 1
   1504   4  -3   3 1 1 1
   1505   5  -3   3 1 1 1
   1506   6  -3   3 1 1 1
   1507   7  -3   3 1 1 1
   1508   8  -3   3 1 1 1
   1509   9  -3   3 1 1 1
   1510  10  -3   3 1 1 1
   1511  11  -3   3 1 1 1
   1512  12  -3   3 1 1 1
   1513  13  -3   3 1 1 1
   1514  14  -3   3 1 1 1
   1515  15  -3   3 1 1 1
   1516  16  -3   3 1 1 1
   1517  17  -3   3 1 1 1
   1518  18  -3   3 1 1 1
   1519  19  -3   3 1 1 1
   1520  20  -3   3 1 1 1
   1521  21  -3   3 1 1 1
   1522  22  -3   3 1 1 1
   1523  23  -3   3 1 1 1
   1524  24  -3   3 1 1 1
   1525  25  -3   3 1 1 1
   1526   1  -2   3 1 1 1
   1527   2  -2   3 1 1 1
   1528   3  -2   3 1 1 1
   1529   4  -2   3 1 1 1
   1530   5  -2   3 1 1 1
   1531   6  -2   3 1 1 1
   1532   7  -2   3 1 1 1
   1533   8  -2   3 1 1 1
   1534   9  -2   3 1 1 1
   1535  10  -2   3 1 1 1
   1536  11  -2   3 1 1 1
   1537  12  -2   3 1 1 1
   1538  13  -2   3 1 1 1
   1539  14  -2   3 1 1 1
   1540  15  -2   3 1 1 1
   1541  16  -2   3 1 1 1
   1542  17  -2   3 1 1 1
   1543  18  -2   3 1 1 1
   1544  19  -2   3 1 1 1
   1545  20  -2   3 1 1 1
   1546  21  -2   3 1 1 1
   1547  22  -2   3 1 1 1
   1548  23  -2   3 1 1 1
   1549  24  -2   3 1 1 1
   1550  25  -2   3 1 1 1
   1551   1  -1   3 1 1 1
   1552   2  -1   3 1 1 1
   1553   3  -1   3 1 1 1
   1554   4  -1   3 1 1 1
   1555   5  -1   3 1 1 1
   1556   6  -1   3 1 1 1
   1557   7  -1   3 1 1 1
   1558   8  -1   3 1 1 1
   1559   9  -1   3 1 1 1
   1560  10  -1   3 1 1 1
   1561  11  -1   3 1 1 1
   1562  12  -1   3 1 1 1
   1563  13  -1   3 1 1 1
   1564  14  -1   3 1 1 1
   1565  15  -1   3 1 1 1
   1566  16  -1   3 1 1 1
   1567  17  -1   3 1 1 1
   1568  18  -1   3 1 1 1
   1569  19  -1   3 1 1 1
   1570  20  -1   3 1 1 1
   1571  21  -1   3 1 1 1
   1572  22  -1   3 1 1 1
   1573  23  -1   3 1 1 1
   1574  24  -1   3 1 1 1
   1575  25  -1   3 1 1 1
   1576   1   0   3 1 1 1
   1577   2   0   3 1 1 1
   1578   3   0   3 1 1 1
   1579   4   0   3 1 1 1
   1580   5   0   3 1 1 1
   1581   6   0   3 1 1 1
   1582   7   0   3 1 1 1
   1583   8   0   3 1 1 1
   1584   9   0   3 1 1 1
   1585  10   0   3 1 1 1
   1586  11   0   3 1 1 1
   1587  12   0   3 1 1 1
   1588  13   0   3 1 1 1
   1589  14   0   3 1 1 1
   1590  15   0   3 1 1 1
   1591  16   0   3 1 1 1
   1592  17   0   3 1 1 1
   1593  18   0   3 1 1 1
   1594  19   0   3 1 1 1
   1595  20   0   3 1 1 1
   1596  21   0   3 1 1 1
   1597  22   0   3 1 1 1
   1598  23   0   3 1 1 1
   1599  24   0   3 1 1 1
   1600  25   0   3 1 1 1
   1601   1   1   3 1 1 1
   1602   2   1   3 1 1 1
   1603   3   1   3 1 1 1
   1604   4   1   3 1 1 1
   1605   5   1   3 1 1 1
   1606   6   1   3 1 1 1
   1607   7   1   3 1 1 1
