 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    180   5   0  -3 1 1 1
    181   6   0  -3 1 1 1
    182   7   0  -3 1 1 1
    183   8   0  -3 1 1 1
    184   9   0  -3 1 1 1
    185  10   0  -3 1 1 1
    186  11   0  -3 1 1 1
    187  12   0  -3 1 1 1
    188  13   0  -3 1 1 1
    189  14   0  -3 1 1 1
    190  15   0  -3 1 1 1
    191  16   0  -3 1 1 1
    192  17   0  -3 1 1 1
    193  18   0  -3 1 1 1
    194  19   0  -3 1 1 1
    195  20   0  -3 1 1 1
    196  21   0  -3 1 1 1
    197  22   0  -3 1 1 1
    198  23   0  -3 1 1 1
    199  24   0  -3 1 1 1
    200  25   0  -3 1 1 1
    201   1   1  -3 1 1 1
    202   2   1  -3 1 1 1
    203   3   1  -3 1 1 1
    204   4   1  -3 1 1 1
    205   5   1  -3 1 1 1
    206   6   1  -3 1 1 1
    207   7   1  -3 1 1 1
    208   8   1  -3 1 1 1
    209   9   1  -3 1 1 1
    210  10   1  -3 1 1 1
    211  11   1  -3 1 1 1
    212  12   1  -3 1 1 1
    213  13   1  -3 1 1 1
    214  14   1  -3 1 1 1
    215  15   1  -3 1 1 1
    216  16   1  -3 1 1 1
    217  17   1  -3 1 1 1
    218  18   1  -3 1 1 1
    219  19   1  -3 1 1 1
    220  20   1  -3 1 1 1
    221  21   1  -3 1 1 1
    222  22   1  -3 1 1 1
    223  23   1  -3 1 1 1
    224  24   1  -3 1 1 1
    225  25   1  -3 1 1 1
    226   1   2  -3 1 1 1
    227   2   2  -3 1 1 1
    228   3   2  -3 1 1 1
    229   4   2  -3 1 1 1
    230   5   2  -3 1 1 1
    231   6   2  -3 1 1 1
    232   7   2  -3 1 1 1
    233   8   2  -3 1 1 1
    234   9   2  -3 1 1 1
    235  10   2  -3 1 1 1
    236  11   2  -3 1 1 1
    237  12   2  -3 1 1 1
    238  13   2  -3 1 1 1
    239  14   2  -3 1 1 1
    240  15   2  -3 1 1 1
    241  16   2  -3 1 1 1
    242  17   2  -3 1 1 1
    243  18   2  -3 1 1 1
    244  19   2  -3 1 1 1
    245  20   2  -3 1 1 1
    246  21   2  -3 1 1 1
    247  22   2  -3 1 1 1
    248  23   2  -3 1 1 1
    249  24   2  -3 1 1 1
    250  25   2  -3 1 1 1
    251   1   3  -3 1 1 1
    252   2   3  -3 1 1 1
    253   3   3  -3 1 1 1
    254   4   3  -3 1 1 1
    255   5   3  -3 1 1 1
    256   6   3  -3 1 1 1
    257   7   3  -3 1 1 1
    258   8   3  -3 1 1 1
    259   9   3  -3 1 1 1
    260  10   3  -3 1 1 1
    261  11   3  -3 1 1 1
    262  12   3  -3 1 1 1
